authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
634,כפר קאסם,Kafar Qasem,,26389.0,,2023,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
654,כפר קרע,Kafar Qara,,19890.0,,2023,13517.8,1.8244325472622815,36.75006288005445,63.24993711994556,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
267,כפר שמריהו,Kefar Shemaryahu,,2077.0,,2023,3682.406,5.072289372369952,22.138586185227812,77.86141381477219,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
47,כפר תבור,Kefar Tavor,,4363.0,,2023,4925.041470949898,3.071887149453005,34.79896526880095,65.20103473119906,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1139,כרמיאל,Karmi'el,,47450.0,,2023,27090.572112178634,1.5463782882672314,18.846896592055874,81.15310340794413,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,לב השרון,Lev HaSharon,,23813.0,,2023,17398.348602878552,2.0051197182053686,43.34197902915298,56.65802097084702,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1271,להבים,Lehavim,,7686.0,,2023,4432.105809096298,1.6105518457934507,41.477480192900224,58.52251980709977,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
7000,לוד,Lod,,87430.0,,2023,60070.69979150477,1.8684444662986723,20.775311149729063,79.22468885027094,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
24,לכיש,Lakhish,,1170.0,,2023,7940.140595464504,1.4744846884188623,41.23287939428453,58.76712060571546,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1060,לקיה,Laqye,,17074.0,,2023,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,מבואות החרמון,Mevo'ot HaHermon,,8021.0,,2023,5623.982369124484,1.8614522348914109,7.539895065327115,92.46010493467288,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1015,מבשרת ציון,Mevasseret Ziyyon,,25476.0,,2023,14762.296871422051,1.5678347435814992,17.153940836431065,82.84605916356892,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
516,מג'ד אל-כרום,Majd Al-Kurum,,14852.0,,2023,14104.488580314039,2.4993489726805387,15.028893591169401,84.9711064088306,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
4201,מג'דל שמס,Majdal Shams,,11103.0,,2023,9715.234,2.345840519283902,5.290186525615336,94.70981347438466,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
481,מגאר,Mughar,,22564.0,,2023,17656.441841672706,2.050476369237087,3.009546580435865,96.99045341956413,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
65,מגדל,Migdal,,2045.0,,2023,3183.557780513411,4.152380914542084,12.618202910349819,87.38179708965018,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
874,מגדל העמק,Migdal HaEmeq,,27045.0,,2023,21352.65259267234,2.1030455499196896,32.219428302005284,67.78057169799472,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
586,מגידו,Megiddo,,953.0,,2023,7629.878245537873,1.6731051716961944,53.21026253482069,46.78973746517931,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
